time,u100,v100,u10n,u10,v10n,v10,fg10,i10fg
2020-01-01 00:00,9.09,1.34,7.05,6.88,1.15,1.13,12.22,11.8
2020-01-01 01:00,8.65,1.17,6.57,6.41,1.05,1.03,11.8,11.18
2020-01-01 02:00,8.39,0.84,6.27,6.13,0.85,0.84,11.18,10.39
2020-01-01 03:00,8.35,0.86,6.2,6.06,0.91,0.89,10.39,9.75
2020-01-01 04:00,8.37,0.58,6.23,6.08,0.68,0.67,9.75,9.14
2020-01-01 05:00,8.17,0.07,6.14,5.99,0.27,0.26,9.14,8.82
2020-01-01 06:00,7.92,-0.13,6,5.84,0.1,0.1,8.82,8.48
2020-01-01 07:00,7.45,-0.13,5.67,5.5,0.08,0.09,8.77,8.35
2020-01-01 08:00,7,0.35,5.32,5.15,0.43,0.43,8.35,7.88
2020-01-01 09:00,6.67,0.88,5.06,4.88,0.83,0.82,7.88,7.59
2020-01-01 10:00,6.29,1.38,4.94,4.72,1.26,1.22,7.66,7.72
2020-01-01 11:00,6.59,1.38,5.16,4.93,1.28,1.23,8.09,8.15
2020-01-01 12:00,6.14,1.76,4.74,4.53,1.54,1.5,8.21,8.13
2020-01-01 13:00,5.34,3.05,4.03,3.84,2.54,2.44,8.14,8.1
2020-01-01 14:00,4.76,4.71,3.57,3.41,3.81,3.64,8.51,8.67
2020-01-01 15:00,3.77,5.72,3,2.85,4.8,4.57,9.41,9.61
2020-01-01 16:00,3.05,6.78,2.42,2.33,5.72,5.5,10.4,10.55
2020-01-01 17:00,3.24,7.66,2.46,2.4,6.33,6.18,10.96,11.03
2020-01-01 18:00,3.47,8.42,2.49,2.47,6.67,6.61,11.34,11.55
2020-01-01 19:00,3.6,8.84,2.34,2.37,6.63,6.71,11.12,10.85
2020-01-01 20:00,2.71,9.24,1.42,1.46,6.49,6.7,10.85,10.37
2020-01-01 21:00,2.37,10.55,0.98,1.02,6.92,7.22,10.65,10.76
2020-01-01 22:00,1.88,11.38,0.63,0.65,7.14,7.47,11.18,11.34
2020-01-01 23:00,2.97,12.83,1.41,1.46,8.09,8.37,12.37,12.63
2020-01-02 00:00,3.43,13.74,1.75,1.8,8.8,9.06,13.46,13.59
2020-01-02 01:00,3.78,14.61,2.05,2.1,9.44,9.68,13.99,14.08
2020-01-02 02:00,4.27,14.63,2.39,2.45,9.46,9.71,14.34,14.4
2020-01-02 03:00,4.49,14.43,2.51,2.58,9.32,9.58,14.63,14.67
2020-01-02 04:00,5.27,13.87,2.96,3.05,8.92,9.2,14.72,14.65
2020-01-02 05:00,5.47,13.6,3.03,3.12,8.8,9.08,14.66,14.44
2020-01-02 06:00,5.52,13.44,3.07,3.16,8.72,8.99,14.44,14.24
2020-01-02 07:00,5.72,12.94,3.18,3.28,8.37,8.63,14.06,13.69
2020-01-02 08:00,5.93,12.86,3.35,3.45,8.36,8.62,13.71,13.67
2020-01-02 09:00,6.23,12.17,3.54,3.65,7.9,8.16,13.67,13.18
2020-01-02 10:00,7.49,10.78,4.38,4.52,7.13,7.35,13.18,12.78
2020-01-02 11:00,7.62,9.91,4.49,4.62,6.59,6.79,12.78,12.34
2020-01-02 12:00,7.28,9.19,4.15,4.28,6.1,6.3,12.34,11.77
2020-01-02 13:00,6.64,9.63,3.74,3.85,6.39,6.58,11.77,11.25
2020-01-02 14:00,6.38,9.69,3.69,3.78,6.47,6.64,11.29,11.41
2020-01-02 15:00,7.32,9.06,4.27,4.37,6.03,6.2,12.12,12.13
2020-01-02 16:00,6.87,7.66,4.24,4.4,5.4,5.62,12.32,12.35
2020-01-02 17:00,6.17,8.26,3.79,3.96,5.88,6.18,12.59,12.19
2020-01-02 18:00,6.43,7.48,4,4.25,5.18,5.57,12.23,11.74
2020-01-02 19:00,6.17,7.06,3.79,4.1,4.81,5.28,10.44,10.06
2020-01-02 20:00,6.08,6.09,3.6,4.04,3.97,4.53,10.06,9.35
2020-01-02 21:00,5.69,5.59,2.94,3.48,3.34,4,9.36,8.17
2020-01-02 22:00,4.9,6.51,2.54,3.03,3.79,4.48,8.17,7.42
2020-01-02 23:00,4.66,6.25,1.94,2.45,3.13,3.91,7.68,7.51
2020-01-03 00:00,4.35,7.02,1.87,2.22,3.67,4.39,7.51,7.11
2020-01-03 01:00,4.94,5.74,2.03,2.52,2.74,3.45,7.11,6.16
2020-01-03 02:00,5.58,4.56,2.25,2.85,2.23,2.85,6.16,5.93
2020-01-03 03:00,5.89,3.65,2.4,3.05,1.8,2.34,5.93,5.33
2020-01-03 04:00,6.09,2.71,2.53,3.2,1.46,1.9,5.33,4.69
2020-01-03 05:00,6,1.41,2.5,3.21,1.01,1.35,4.69,4
2020-01-03 06:00,5.06,-1,2.09,2.84,-0.12,0,4,3.66
2020-01-03 07:00,4.5,-1.96,2.27,2.93,-0.31,-0.31,4.43,4.14
2020-01-03 08:00,3.23,-4.27,1.92,2.38,-1.73,-2.06,4.18,4.18
2020-01-03 09:00,2.4,-4.83,1.67,1.98,-2.2,-2.57,4.33,4.33
2020-01-03 10:00,0.1,-4.41,0.47,0.65,-1.89,-2.6,4.83,5
2020-01-03 11:00,0.85,-3.92,0.77,1.1,-1.61,-2.23,5.71,5.88
2020-01-03 12:00,1.27,-4.46,0.94,1.15,-2.11,-2.59,6.48,6.59
2020-01-03 13:00,1.23,-4.4,0.95,1.16,-2,-2.45,7.06,7.12
2020-01-03 14:00,0.85,-4.81,0.87,1,-2.52,-2.88,7.51,7.58
2020-01-03 15:00,0.04,-5.19,0.32,0.35,-3.44,-3.68,7.79,7.56
2020-01-03 16:00,-0.23,-4.62,0.08,0.09,-3.45,-3.6,7.56,6.98
2020-01-03 17:00,0.2,-3.59,0.32,0.34,-2.8,-2.89,6.98,6.18
2020-01-03 18:00,0.01,-2.76,0.08,0.09,-2.28,-2.37,6.18,5.48
2020-01-03 19:00,-0.47,-2.69,-0.39,-0.39,-2.29,-2.34,4.04,4.03
2020-01-03 20:00,-0.27,-3.33,-0.25,-0.28,-2.85,-2.87,4.46,4.63
2020-01-03 21:00,-0.2,-3.78,-0.24,-0.27,-3.22,-3.23,5.06,5.05
2020-01-03 22:00,0.15,-3.19,0.04,0.02,-2.67,-2.69,5.05,4.58
2020-01-03 23:00,-0.25,-3.37,-0.23,-0.23,-2.58,-2.62,4.58,3.99
2020-01-04 00:00,-0.27,-3.24,-0.23,-0.24,-2.39,-2.45,4.15,4.1
2020-01-04 01:00,-0.42,-3.23,-0.32,-0.33,-2.37,-2.44,4.31,4.33
2020-01-04 02:00,-0.88,-3.19,-0.61,-0.61,-2.45,-2.46,4.48,4.42
2020-01-04 03:00,-0.3,-3.27,-0.12,-0.11,-2.55,-2.53,4.43,4
2020-01-04 04:00,0.55,-3.46,0.53,0.53,-2.58,-2.55,4.05,3.9
2020-01-04 05:00,0.55,-3.46,0.53,0.53,-2.8,-2.73,3.97,4.01
2020-01-04 06:00,0.71,-3.84,0.64,0.65,-3.04,-3,4.35,4.45
2020-01-04 07:00,1.37,-4.36,1.19,1.18,-3.44,-3.37,5.27,5.34
2020-01-04 08:00,1.66,-4.6,1.46,1.43,-3.78,-3.69,5.57,5.54
2020-01-04 09:00,1.84,-5.23,1.6,1.56,-4.25,-4.13,6.03,6.19
2020-01-04 10:00,1.89,-3.85,1.61,1.55,-3.09,-2.98,6.65,6.75
2020-01-04 11:00,2.04,-4.31,1.79,1.73,-3.4,-3.28,7.17,7.14
2020-01-04 12:00,2.22,-4.75,1.97,1.92,-3.77,-3.65,7.21,7.34
2020-01-04 13:00,3.16,-5.96,2.68,2.63,-4.69,-4.58,8.32,8.57
2020-01-04 14:00,3.61,-6.99,3.04,2.99,-5.43,-5.33,9.33,9.37
2020-01-04 15:00,3.79,-7.11,3.27,3.21,-5.78,-5.66,9.6,9.68
